Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,809246,770417,38829,802578,47763,0,12628,18763,0.952018,0.9404879999999999,0.0,0.946218,,,1.7433648718739725,1.6407323039444952
INDEL,PASS,809246,770417,38829,802578,47763,0,12628,18763,0.952018,0.9404879999999999,0.0,0.946218,,,1.7433648718739725,1.6407323039444952
SNP,ALL,3539938,3506775,33163,3545856,39208,0,7879,6346,0.990632,0.988943,0.0,0.989786,2.0458913733510813,2.04578368917965,1.4226968236108943,1.4200439409787178
SNP,PASS,3539938,3506775,33163,3545856,39208,0,7879,6346,0.990632,0.988943,0.0,0.989786,2.0458913733510813,2.04578368917965,1.4226968236108943,1.4200439409787178
