Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,809999,771198,38801,802578,47011,0,12597,18203,0.952097,0.941425,0.0,0.946731,,,1.741902069969365,1.6407323039444952
INDEL,PASS,809999,771198,38801,802578,47011,0,12597,18203,0.952097,0.941425,0.0,0.946731,,,1.741902069969365,1.6407323039444952
SNP,ALL,3541585,3508643,32942,3545856,37329,0,7683,6211,0.990699,0.9894719999999999,0.0,0.990085,2.045898520648228,2.04578368917965,1.4232916426327613,1.4200439409787178
SNP,PASS,3541585,3508643,32942,3545856,37329,0,7683,6211,0.990699,0.9894719999999999,0.0,0.990085,2.045898520648228,2.04578368917965,1.4232916426327613,1.4200439409787178
