Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,821819,784821,36998,802578,34160,0,10426,13498,0.9549799999999999,0.9574370000000001,0.0,0.9562069999999999,,,1.781179249593053,1.6407323039444952
INDEL,PASS,821819,784821,36998,802578,34160,0,10426,13498,0.9549799999999999,0.9574370000000001,0.0,0.9562069999999999,,,1.781179249593053,1.6407323039444952
SNP,ALL,3543797,3514511,29286,3545856,31487,0,6662,5446,0.9917360000000001,0.9911200000000001,0.0,0.9914280000000001,2.044852280977605,2.04578368917965,1.4211390390041607,1.4200439409787178
SNP,PASS,3543797,3514511,29286,3545856,31487,0,6662,5446,0.9917360000000001,0.9911200000000001,0.0,0.9914280000000001,2.044852280977605,2.04578368917965,1.4211390390041607,1.4200439409787178
