Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,823106,776499,46607,796853,36123,0,12498,13319,0.943377,0.9546680000000001,0.0,0.948989,,,1.7478450722092767,1.5989305704180043
INDEL,PASS,823106,776499,46607,796853,36123,0,12498,13319,0.943377,0.9546680000000001,0.0,0.948989,,,1.7478450722092767,1.5989305704180043
SNP,ALL,3549088,3514967,34121,3549069,34186,0,9592,5222,0.9903860000000001,0.990368,0.0,0.9903770000000001,2.0457059100161676,2.0467219615018863,1.4062021390193054,1.4104173602288246
SNP,PASS,3549088,3514967,34121,3549069,34186,0,9592,5222,0.9903860000000001,0.990368,0.0,0.9903770000000001,2.0457059100161676,2.0467219615018863,1.4062021390193054,1.4104173602288246
