	Type	Filter	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
0	INDEL	ALL	0.959988	0.96697	0.953106
1	INDEL	PASS	0.959988	0.96697	0.953106
2	SNP	ALL	0.991661	0.99159	0.991731
3	SNP	PASS	0.991661	0.99159	0.991731
