	Type	Filter	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
0	INDEL	ALL	0.787242	0.808851	0.766757
1	INDEL	PASS	0.787242	0.808851	0.766757
2	SNP	ALL	0.8402129999999999	0.8420280000000001	0.838406
3	SNP	PASS	0.8402129999999999	0.8420280000000001	0.838406
