	Type	Filter	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
0	INDEL	ALL	0.786925	0.808404	0.766559
1	INDEL	PASS	0.786925	0.808404	0.766559
2	SNP	ALL	0.8375879999999999	0.837807	0.837369
3	SNP	PASS	0.8375879999999999	0.837807	0.837369
