	Type	Filter	METRIC.F1_Score	METRIC.Precision	METRIC.Recall
0	INDEL	ALL	0.959981	0.966966	0.953096
1	INDEL	PASS	0.959981	0.966966	0.953096
2	SNP	ALL	0.99166	0.991584	0.991736
3	SNP	PASS	0.99166	0.991584	0.991736
