Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,833691,798753,34938,816049,34618,0,10028,13910,0.958092,0.9575790000000001,0.0,0.957835,,,1.8530445465776442,1.7267127059539813
INDEL,PASS,833691,798753,34938,816049,34618,0,10028,13910,0.958092,0.9575790000000001,0.0,0.957835,,,1.8530445465776442,1.7267127059539813
SNP,ALL,3575667,3545307,30360,3574274,29091,0,6662,5184,0.991509,0.9918610000000001,0.0,0.991685,2.045782995009255,2.0460105920723044,1.4634729936602378,1.461757244454611
SNP,PASS,3575667,3545307,30360,3574274,29091,0,6662,5184,0.991509,0.9918610000000001,0.0,0.991685,2.045782995009255,2.0460105920723044,1.4634729936602378,1.461757244454611
