Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,816769,785279,31490,809116,40234,0,10209,15650,0.9614459999999999,0.950274,0.0,0.9558270000000001,,,1.7319704181397948,1.640544917277417
INDEL,PASS,816769,785279,31490,809116,40234,0,10209,15650,0.9614459999999999,0.950274,0.0,0.9558270000000001,,,1.7319704181397948,1.640544917277417
SNP,ALL,3551172,3520981,30191,3550424,29547,0,6741,5422,0.991498,0.9916780000000001,0.0,0.9915879999999999,2.0489098378601143,2.0483526369054315,1.4121630708996233,1.408745951639569
SNP,PASS,3551172,3520981,30191,3550424,29547,0,6741,5422,0.991498,0.9916780000000001,0.0,0.9915879999999999,2.0489098378601143,2.0483526369054315,1.4121630708996233,1.408745951639569
