Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,827941,780513,47428,796853,32318,0,12033,11979,0.942716,0.959443,0.0,0.9510059999999999,,,1.7720465388800535,1.5989305704180043
INDEL,PASS,827941,780513,47428,796853,32318,0,12033,11979,0.942716,0.959443,0.0,0.9510059999999999,,,1.7720465388800535,1.5989305704180043
SNP,ALL,3547404,3513777,33627,3549069,35411,0,9653,5098,0.9905209999999999,0.990022,0.0,0.9902719999999999,2.045536183408483,2.0467219615018863,1.4040189372017344,1.4104173602288246
SNP,PASS,3547404,3513777,33627,3549069,35411,0,9653,5098,0.9905209999999999,0.990022,0.0,0.9902719999999999,2.045536183408483,2.0467219615018863,1.4040189372017344,1.4104173602288246
