Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,823459,791346,32113,809116,34499,0,9632,13611,0.961002,0.957362,0.0,0.9591790000000001,,,1.7577142818869265,1.640544917277417
INDEL,PASS,823459,791346,32113,809116,34499,0,9632,13611,0.961002,0.957362,0.0,0.9591790000000001,,,1.7577142818869265,1.640544917277417
SNP,ALL,3551684,3521986,29698,3550424,28543,0,6561,4932,0.9916379999999999,0.9919610000000001,0.0,0.991799,2.048040953112462,2.0483526369054315,1.4114985483551192,1.408745951639569
SNP,PASS,3551684,3521986,29698,3550424,28543,0,6561,4932,0.9916379999999999,0.9919610000000001,0.0,0.991799,2.048040953112462,2.0483526369054315,1.4114985483551192,1.408745951639569
