Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,818981,786084,32897,809116,39470,0,10651,15558,0.959832,0.951218,0.0,0.955506,,,1.757270407304411,1.640544917277417
INDEL,PASS,818981,786084,32897,809116,39470,0,10651,15558,0.959832,0.951218,0.0,0.955506,,,1.757270407304411,1.640544917277417
SNP,ALL,3546275,3515533,30742,3550424,34986,0,7469,5794,0.991331,0.9901459999999999,0.0,0.9907379999999999,2.048314531407411,2.0483526369054315,1.4103561150736847,1.408745951639569
SNP,PASS,3546275,3515533,30742,3550424,34986,0,7469,5794,0.991331,0.9901459999999999,0.0,0.9907379999999999,2.048314531407411,2.0483526369054315,1.4103561150736847,1.408745951639569
