Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,821071,775962,45109,796853,36748,0,12399,13478,0.945061,0.9538840000000001,0.0,0.9494520000000001,,,1.7458456372921147,1.5989305704180043
INDEL,PASS,821071,775962,45109,796853,36748,0,12399,13478,0.945061,0.9538840000000001,0.0,0.9494520000000001,,,1.7458456372921147,1.5989305704180043
SNP,ALL,3547881,3514768,33113,3549069,34384,0,9539,5401,0.990667,0.9903120000000001,0.0,0.990489,2.045948315013818,2.0467219615018863,1.4053984973212943,1.4104173602288246
SNP,PASS,3547881,3514768,33113,3549069,34384,0,9539,5401,0.990667,0.9903120000000001,0.0,0.990489,2.045948315013818,2.0467219615018863,1.4053984973212943,1.4104173602288246
