Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,821062,782055,39007,802578,36556,0,10842,14894,0.952492,0.9544520000000001,0.0,0.953471,,,1.778664446610353,1.6407323039444952
INDEL,PASS,821062,782055,39007,802578,36556,0,10842,14894,0.952492,0.9544520000000001,0.0,0.953471,,,1.778664446610353,1.6407323039444952
SNP,ALL,3540483,3510573,29910,3545856,35439,0,7113,5641,0.991552,0.9900059999999999,0.0,0.990778,2.0450555130777612,2.04578368917965,1.417759916414282,1.4200439409787178
SNP,PASS,3540483,3510573,29910,3545856,35439,0,7113,5641,0.991552,0.9900059999999999,0.0,0.990778,2.0450555130777612,2.04578368917965,1.417759916414282,1.4200439409787178
