Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,816607,785130,31477,809116,40376,0,10223,15758,0.9614540000000001,0.950099,0.0,0.955743,,,1.7320042555469315,1.640544917277417
INDEL,PASS,816607,785130,31477,809116,40376,0,10223,15758,0.9614540000000001,0.950099,0.0,0.955743,,,1.7320042555469315,1.640544917277417
SNP,ALL,3551136,3520993,30143,3550424,29536,0,6736,5413,0.9915120000000001,0.9916809999999999,0.0,0.9915959999999999,2.0489129594873283,2.0483526369054315,1.412048505381902,1.408745951639569
SNP,PASS,3551136,3520993,30143,3550424,29536,0,6736,5413,0.9915120000000001,0.9916809999999999,0.0,0.9915959999999999,2.0489129594873283,2.0483526369054315,1.412048505381902,1.408745951639569
