Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,821925,784939,36986,802578,34052,0,10422,13413,0.955001,0.957572,0.0,0.956285,,,1.7812179597803246,1.6407323039444952
INDEL,PASS,821925,784939,36986,802578,34052,0,10422,13413,0.955001,0.957572,0.0,0.956285,,,1.7812179597803246,1.6407323039444952
SNP,ALL,3543900,3514612,29288,3545856,31384,0,6638,5423,0.9917360000000001,0.991149,0.0,0.991442,2.044823053328866,2.04578368917965,1.4211548223263555,1.4200439409787178
SNP,PASS,3543900,3514612,29288,3545856,31384,0,6638,5423,0.9917360000000001,0.991149,0.0,0.991442,2.044823053328866,2.04578368917965,1.4211548223263555,1.4200439409787178
