Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,831824,792808,39016,802578,26512,0,9602,10331,0.9530959999999999,0.966966,0.0,0.959981,,,1.8094663924155376,1.6407323039444952
INDEL,PASS,831824,792808,39016,802578,26512,0,9602,10331,0.9530959999999999,0.966966,0.0,0.959981,,,1.8094663924155376,1.6407323039444952
SNP,ALL,3545470,3516169,29301,3545856,29841,0,6254,4833,0.9917360000000001,0.991584,0.0,0.99166,2.044249535266111,2.04578368917965,1.4188711066113413,1.4200439409787178
SNP,PASS,3545470,3516169,29301,3545856,29841,0,6254,4833,0.9917360000000001,0.991584,0.0,0.99166,2.044249535266111,2.04578368917965,1.4188711066113413,1.4200439409787178
