Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,819009,786084,32925,809116,39466,0,10654,15569,0.959799,0.9512229999999999,0.0,0.955492,,,1.7575317836556592,1.640544917277417
INDEL,PASS,819009,786084,32925,809116,39466,0,10654,15569,0.959799,0.9512229999999999,0.0,0.955492,,,1.7575317836556592,1.640544917277417
SNP,ALL,3546263,3515521,30742,3550424,34998,0,7504,5789,0.991331,0.990143,0.0,0.9907370000000001,2.0482858746582107,2.0483526369054315,1.4103725333066894,1.408745951639569
SNP,PASS,3546263,3515521,30742,3550424,34998,0,7504,5789,0.991331,0.990143,0.0,0.9907370000000001,2.0482858746582107,2.0483526369054315,1.4103725333066894,1.408745951639569
