Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,820596,781598,38998,802578,37013,0,10861,15202,0.952476,0.953882,0.0,0.9531790000000001,,,1.7793636492958413,1.6407323039444952
INDEL,PASS,820596,781598,38998,802578,37013,0,10861,15202,0.952476,0.953882,0.0,0.9531790000000001,,,1.7793636492958413,1.6407323039444952
SNP,ALL,3540418,3510497,29921,3545856,35518,0,7201,5682,0.991549,0.989983,0.0,0.990765,2.0451488936405187,2.04578368917965,1.4177138775415437,1.4200439409787178
SNP,PASS,3540418,3510497,29921,3545856,35518,0,7201,5682,0.991549,0.989983,0.0,0.990765,2.0451488936405187,2.04578368917965,1.4177138775415437,1.4200439409787178
