Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,818953,786065,32888,809116,39485,0,10650,15585,0.9598409999999999,0.9512,0.0,0.955501,,,1.7573710880288211,1.640544917277417
INDEL,PASS,818953,786065,32888,809116,39485,0,10650,15585,0.9598409999999999,0.9512,0.0,0.955501,,,1.7573710880288211,1.640544917277417
SNP,ALL,3546286,3515528,30758,3550424,34990,0,7514,5788,0.9913270000000001,0.990145,0.0,0.990735,2.0482794426207245,2.0483526369054315,1.4103701448144519,1.408745951639569
SNP,PASS,3546286,3515528,30758,3550424,34990,0,7514,5788,0.9913270000000001,0.990145,0.0,0.990735,2.0482794426207245,2.0483526369054315,1.4103701448144519,1.408745951639569
