PGPC	Oral	Recall	Raw_Precision	Decontam_Precision
PGPC-02	1.saliva	0.90273	0.9944211743355811	0.9944423815946053
PGPC-02	1.saliva	0.9031254545454546	0.9942814868017742	0.9943030862211965
PGPC-02	1.saliva	0.9035209090909091	0.9941417992679673	0.9941637908477876
PGPC-02	1.saliva	0.9039163636363636	0.9940021117341603	0.9940244954743788
PGPC-02	1.saliva	0.9043118181818182	0.9938624242003534	0.99388520010097
PGPC-02	1.saliva	0.9047072727272728	0.9937227366665464	0.9937459047275612
PGPC-02	1.saliva	0.9051027272727273	0.9935830491327395	0.9936066093541523
PGPC-02	1.saliva	0.9054981818181819	0.9934433615989325	0.9934673139807435
PGPC-02	1.saliva	0.9058936363636364	0.9933036740651257	0.9933280186073347
PGPC-02	1.saliva	0.9062890909090909	0.9931639865313188	0.9931887232339259
PGPC-02	1.saliva	0.9066845454545455	0.9930242989975118	0.9930494278605171
PGPC-02	1.saliva	0.90708	0.9928846114637049	0.9929101324871082
PGPC-02	1.saliva	0.9074754545454545	0.992744923929898	0.9927708371136994
PGPC-02	1.saliva	0.9078709090909092	0.9923864916986641	0.9924135907198095
PGPC-02	1.saliva	0.9082663636363637	0.9919658654480558	0.9919943759666864
PGPC-02	1.saliva	0.9086618181818182	0.9915452391974474	0.9915751612135634
PGPC-02	1.saliva	0.9090572727272728	0.991124612946839	0.9911559464604403
PGPC-02	1.saliva	0.9094527272727273	0.9909286908513937	0.9909603389708269
PGPC-02	1.saliva	0.9098481818181818	0.9909337889365691	0.9909647703833255
PGPC-02	1.saliva	0.9102436363636364	0.9909388870217446	0.9909692017958242
PGPC-02	1.saliva	0.9106390909090909	0.9909439851069201	0.9909736332083229
PGPC-02	1.saliva	0.9110345454545455	0.9909490831920954	0.9909780646208215
PGPC-02	1.saliva	0.9114300000000001	0.9909541812772709	0.9909824960333201
PGPC-02	1.saliva	0.9118254545454546	0.9909592793624463	0.9909869274458187
PGPC-02	1.saliva	0.9122209090909091	0.9909643774476218	0.9909913588583175
PGPC-02	1.saliva	0.9126163636363637	0.9909694755327972	0.9909957902708161
PGPC-02	1.saliva	0.9130118181818182	0.9909745736179726	0.9910002216833147
PGPC-02	1.saliva	0.9134072727272727	0.990979671703148	0.9910046530958133
PGPC-02	1.saliva	0.9138027272727273	0.9909847697883235	0.991009084508312
PGPC-02	1.saliva	0.9141981818181819	0.990989867873499	0.9910135159208107
PGPC-02	1.saliva	0.9145936363636364	0.9909939287079441	0.9910179473333093
PGPC-02	1.saliva	0.914989090909091	0.990997693447766	0.991022378745808
PGPC-02	1.saliva	0.9153845454545455	0.9910014581875879	0.9910268101583066
PGPC-02	1.saliva	0.91578	0.9910052229274098	0.9910312415708052
PGPC-02	1.saliva	0.9161754545454546	0.9910089876672316	0.9910356729833039
PGPC-02	1.saliva	0.9165709090909091	0.9910127524070534	0.9910401043958026
PGPC-02	1.saliva	0.9169663636363636	0.9910165171468753	0.9910445358083012
PGPC-02	1.saliva	0.9173618181818182	0.9910202818866972	0.9910489672207998
PGPC-02	1.saliva	0.9177572727272728	0.991024046626519	0.9910533986332986
PGPC-02	1.saliva	0.9181527272727273	0.9910278113663409	0.9910578300457972
PGPC-02	1.saliva	0.9185481818181819	0.9910315761061628	0.9910622614582958
PGPC-02	1.saliva	0.9189436363636364	0.9910353408459847	0.9910666928707944
PGPC-02	1.saliva	0.9193390909090909	0.9910391055962782	0.9910711055858066
PGPC-02	1.saliva	0.9197345454545455	0.991042870709475	0.9910748703256284
PGPC-02	1.saliva	0.92013	0.9910466358226718	0.9910786350654502
PGPC-02	1.saliva	0.9205254545454545	0.9910504009358687	0.9910823998052721
PGPC-02	1.saliva	0.9209209090909092	0.9910541660490655	0.9910861645450939
PGPC-02	1.saliva	0.9213163636363637	0.9910579311622624	0.9910899292849158
PGPC-02	1.saliva	0.9217118181818182	0.9910616962754591	0.9910936940247377
PGPC-02	1.saliva	0.9221072727272728	0.991065461388656	0.9910974587645596
PGPC-02	1.saliva	0.9225027272727273	0.9910692265018528	0.9911012235043813
PGPC-02	1.saliva	0.9228981818181818	0.9910729914175472	0.9911049882442032
PGPC-02	1.saliva	0.9232936363636364	0.991076756157369	0.9911087529840251
PGPC-02	1.saliva	0.9236890909090909	0.9910805208971909	0.9911125177238469
PGPC-02	1.saliva	0.9240845454545455	0.9910842856370128	0.9911162824636688
PGPC-02	1.saliva	0.9244800000000001	0.9910880503768346	0.9911200145789943
PGPC-02	1.saliva	0.9248754545454546	0.9910918151166564	0.9911236620324038
PGPC-02	1.saliva	0.9252709090909091	0.9910955798564783	0.9911273094858132
PGPC-02	1.saliva	0.9256663636363637	0.9910993445963001	0.9911309569392226
PGPC-02	1.saliva	0.9260618181818182	0.991103109336122	0.991134604392632
PGPC-02	1.saliva	0.9264572727272727	0.9911068740759439	0.9911382518460414
PGPC-02	1.saliva	0.9268527272727273	0.9911106388157658	0.9911418992994508
PGPC-02	1.saliva	0.9272481818181819	0.9911144035555876	0.9911455467528604
PGPC-02	1.saliva	0.9276436363636364	0.9911181682954094	0.9911491942062698
PGPC-02	1.saliva	0.928039090909091	0.9911218416596792	0.9911529333261204
PGPC-02	1.saliva	0.9284345454545455	0.9911254891130886	0.9911566984393173
PGPC-02	1.saliva	0.92883	0.991129136566498	0.9911604635525141
PGPC-02	1.saliva	0.9292254545454546	0.9911327840199075	0.991164228665711
PGPC-02	1.saliva	0.9296209090909091	0.9911364314733169	0.9911679937789077
PGPC-02	1.saliva	0.9300163636363636	0.9911400789267263	0.9911717588921046
