PGPC	Oral	Recall	Raw_Precision	Decontam_Precision
PGPC-02	2.buccal	0.976271	0.9950965254237288	0.9950965254237288
PGPC-02	2.buccal	0.976191707070707	0.9951364275952869	0.9951364275952869
PGPC-02	2.buccal	0.9761124141414141	0.995176329766845	0.995176329766845
PGPC-02	2.buccal	0.9760331212121212	0.9952162319384031	0.9952162319384031
PGPC-02	2.buccal	0.9759538282828283	0.9952561341099612	0.9952561341099612
PGPC-02	2.buccal	0.9758745353535353	0.9952960362815193	0.9952960362815193
PGPC-02	2.buccal	0.9757952424242424	0.9953359384530773	0.9953359384530773
PGPC-02	2.buccal	0.9757159494949494	0.9953758406246355	0.9953758406246355
PGPC-02	2.buccal	0.9756366565656566	0.9954157427961935	0.9954157427961935
PGPC-02	2.buccal	0.9755573636363636	0.9954556449677516	0.9954556449677516
PGPC-02	2.buccal	0.9754780707070707	0.9954955471393097	0.9954955471393097
PGPC-02	2.buccal	0.9753987777777777	0.9955354493108678	0.9955354493108678
PGPC-02	2.buccal	0.9753194848484849	0.9955753514824258	0.9955753514824258
PGPC-02	2.buccal	0.9752401919191919	0.995615253653984	0.995615253653984
PGPC-02	2.buccal	0.975160898989899	0.9956551558255421	0.9956551558255421
PGPC-02	2.buccal	0.975081606060606	0.9956950579971001	0.9956950579971001
PGPC-02	2.buccal	0.9750023131313131	0.9957349601686583	0.9957349601686583
PGPC-02	2.buccal	0.9749230202020202	0.9957748623402163	0.9957748623402163
PGPC-02	2.buccal	0.9748437272727273	0.9958147645117744	0.9958147645117744
PGPC-02	2.buccal	0.9747644343434343	0.9958546666833326	0.9958546666833326
PGPC-02	2.buccal	0.9746851414141414	0.9958945688548906	0.9958945688548906
PGPC-02	2.buccal	0.9746058484848484	0.9959344710264487	0.9959344710264487
PGPC-02	2.buccal	0.9745265555555556	0.9959743731980067	0.9959743731980067
PGPC-02	2.buccal	0.9744472626262626	0.9960142753695649	0.9960142753695649
PGPC-02	2.buccal	0.9743679696969697	0.9960541775411229	0.9960541775411229
PGPC-02	2.buccal	0.9742886767676767	0.996094079712681	0.996094079712681
PGPC-02	2.buccal	0.9742093838383838	0.9961339818842391	0.9961339818842391
PGPC-02	2.buccal	0.9741300909090909	0.9961738840557972	0.9961738840557972
PGPC-02	2.buccal	0.974050797979798	0.9962137862273552	0.9962137862273552
PGPC-02	2.buccal	0.973971505050505	0.9962536883989134	0.9962536883989134
PGPC-02	2.buccal	0.9738922121212121	0.9962935905704715	0.9962935905704715
PGPC-02	2.buccal	0.9738129191919191	0.9963334927420295	0.9963334927420295
PGPC-02	2.buccal	0.9737336262626263	0.9963733949135877	0.9963733949135877
PGPC-02	2.buccal	0.9736543333333333	0.9964132970851458	0.9964132970851458
PGPC-02	2.buccal	0.9735750404040404	0.9964531992567038	0.9964531992567038
PGPC-02	2.buccal	0.9734957474747474	0.996493101428262	0.996493101428262
PGPC-02	2.buccal	0.9734164545454546	0.99653300359982	0.99653300359982
PGPC-02	2.buccal	0.9733371616161616	0.9965729057713781	0.9965729057713781
PGPC-02	2.buccal	0.9732578686868687	0.9966128079429362	0.9966128079429362
PGPC-02	2.buccal	0.9731785757575757	0.9966527101144943	0.9966527101144943
PGPC-02	2.buccal	0.9730992828282828	0.9966926122860523	0.9966926122860523
PGPC-02	2.buccal	0.9730199898989899	0.9967325144576105	0.9967325144576105
PGPC-02	2.buccal	0.972940696969697	0.9967724166291685	0.9967724166291685
PGPC-02	2.buccal	0.972861404040404	0.9968123188007266	0.9968123188007266
PGPC-02	2.buccal	0.9727821111111111	0.9968522209722847	0.9968522209722847
PGPC-02	2.buccal	0.9727028181818181	0.9968921231438428	0.9968921231438428
PGPC-02	2.buccal	0.9726235252525253	0.9969320253154009	0.9969320253154009
PGPC-02	2.buccal	0.9725442323232323	0.996971927486959	0.996971927486959
PGPC-02	2.buccal	0.9724649393939394	0.9970118296585171	0.9970118296585171
PGPC-02	2.buccal	0.9723856464646464	0.9970517318300752	0.9970517318300752
PGPC-02	2.buccal	0.9723063535353536	0.9970916340016333	0.9970916340016333
PGPC-02	2.buccal	0.9722270606060606	0.9971315361731914	0.9971315361731914
PGPC-02	2.buccal	0.9721477676767677	0.9971714383447494	0.9971714383447494
PGPC-02	2.buccal	0.9720684747474747	0.9972113405163076	0.9972113405163076
PGPC-02	2.buccal	0.9719891818181818	0.9972512426878656	0.9972512426878656
PGPC-02	2.buccal	0.9719098888888889	0.9972911448594237	0.9972911448594237
PGPC-02	2.buccal	0.971830595959596	0.9973310470309817	0.9973310470309817
PGPC-02	2.buccal	0.971751303030303	0.9973709492025399	0.9973709492025399
PGPC-02	2.buccal	0.9716720101010101	0.9974108513740979	0.9974108513740979
PGPC-02	2.buccal	0.9715927171717171	0.997450753545656	0.997450753545656
PGPC-02	2.buccal	0.9715134242424243	0.9974906557172141	0.9974906557172141
PGPC-02	2.buccal	0.9714341313131313	0.9975305578887722	0.9975305578887722
PGPC-02	2.buccal	0.9713548383838384	0.9975704600603303	0.9975704600603303
PGPC-02	2.buccal	0.9712755454545454	0.9976103622318884	0.9976103622318884
PGPC-02	2.buccal	0.9711962525252525	0.9976502644034465	0.9976502644034465
PGPC-02	2.buccal	0.9711169595959596	0.9976901665750046	0.9976901665750046
PGPC-02	2.buccal	0.9710376666666667	0.9977300687465627	0.9977300687465627
PGPC-02	2.buccal	0.9709583737373737	0.9977699709181208	0.9977699709181208
PGPC-02	2.buccal	0.9708790808080808	0.9978098730896788	0.9978098730896788
