PGPC	Oral	Recall	Raw_Precision	Decontam_Precision
PGPC-02	1.saliva	0.88626	0.9998104959294437	0.9998164032713579
PGPC-02	1.saliva	0.8871899191919193	0.9998060108675462	0.9998112601550929
PGPC-02	1.saliva	0.8881198383838385	0.999806131292202	0.9998061170388279
PGPC-02	1.saliva	0.8890497575757577	0.9998062517168578	0.9998061324912634
PGPC-02	1.saliva	0.8899796767676769	0.9998063721415136	0.9998062680677603
PGPC-02	1.saliva	0.890909595959596	0.9998064925661693	0.9998064036442571
PGPC-02	1.saliva	0.8918395151515152	0.9998066129908251	0.9998065392207539
PGPC-02	1.saliva	0.8927694343434344	0.9998067334154809	0.9998066747972508
PGPC-02	1.saliva	0.8936993535353536	0.9998068538401367	0.9998068103737476
PGPC-02	1.saliva	0.8946292727272728	0.9998069742647925	0.9998069459502446
PGPC-02	1.saliva	0.895559191919192	0.9998071334778968	0.999807098189977
PGPC-02	1.saliva	0.8964891111111112	0.9998073032331346	0.9998072614769291
PGPC-02	1.saliva	0.8974190303030304	0.9998074729883722	0.9998074247638812
PGPC-02	1.saliva	0.8983489494949496	0.9998076427436099	0.9998075880508333
PGPC-02	1.saliva	0.8992788686868687	0.9998078124988475	0.9998077513377852
PGPC-02	1.saliva	0.9002087878787879	0.9998079822540853	0.9998079146247373
PGPC-02	1.saliva	0.9011387070707071	0.9998081649578191	0.9998038489881529
PGPC-02	1.saliva	0.9020686262626263	0.99980834917319	0.9997951493170468
PGPC-02	1.saliva	0.9029985454545455	0.9998085333885607	0.9997864496459409
PGPC-02	1.saliva	0.9039284646464647	0.9998087176039315	0.9997777499748348
PGPC-02	1.saliva	0.9048583838383839	0.9998089018193024	0.9997690503037288
PGPC-02	1.saliva	0.9057883030303031	0.9997985988573634	0.9997580803015969
PGPC-02	1.saliva	0.9067182222222223	0.9997763281811748	0.9997374056554189
PGPC-02	1.saliva	0.9076481414141414	0.9997540575049861	0.999716731009241
PGPC-02	1.saliva	0.9085780606060606	0.9997317868287975	0.999696056363063
PGPC-02	1.saliva	0.9095079797979798	0.9997126114763771	0.9996753817168851
PGPC-02	1.saliva	0.910437898989899	0.9997029113457243	0.9996614344913262
PGPC-02	1.saliva	0.9113678181818182	0.9996932112150714	0.9996512230799947
PGPC-02	1.saliva	0.9122977373737374	0.9996835110844186	0.9996410116686633
PGPC-02	1.saliva	0.9132276565656566	0.9996738109537657	0.9996308002573318
PGPC-02	1.saliva	0.9141575757575758	0.9996636626440096	0.9996179641071629
PGPC-02	1.saliva	0.915087494949495	0.9996532243124263	0.9995966367372866
PGPC-02	1.saliva	0.9160174141414141	0.999642785980843	0.9995753093674102
PGPC-02	1.saliva	0.9169473333333333	0.9996323476492598	0.999553981997534
PGPC-02	1.saliva	0.9178772525252525	0.9996206907623941	0.9995326546276576
PGPC-02	1.saliva	0.9188071717171717	0.9996041684438045	0.9995305990961864
PGPC-02	1.saliva	0.919737090909091	0.999587646125215	0.9995312833634357
PGPC-02	1.saliva	0.9206670101010102	0.9995781602526298	0.9995319676306851
PGPC-02	1.saliva	0.9215969292929294	0.9995785453123366	0.999515427105541
PGPC-02	1.saliva	0.9225268484848486	0.9995789303720434	0.9994980313012187
PGPC-02	1.saliva	0.9234567676767678	0.9995794013528329	0.9994793515994567
PGPC-02	1.saliva	0.9243866868686869	0.9995798912997201	0.9994577924219006
PGPC-02	1.saliva	0.9253166060606061	0.9995657620145486	0.9994410972592529
PGPC-02	1.saliva	0.9262465252525253	0.9995474645227969	0.9994415371453418
PGPC-02	1.saliva	0.9271764444444445	0.9995351347474747	0.9994419770314307
PGPC-02	1.saliva	0.9281063636363637	0.9995355574380165	0.9994424982270415
PGPC-02	1.saliva	0.9290362828282829	0.9995359801285583	0.9994430192194673
PGPC-02	1.saliva	0.9299662020202021	0.9995363482129745	0.9994434419100091
PGPC-02	1.saliva	0.9308961212121213	0.9995367136036197	0.999443864600551
PGPC-02	1.saliva	0.9318260404040405	0.9995266581815898	0.9994245990326182
PGPC-02	1.saliva	0.9327559595959596	0.9994788217505752	0.9993968245935425
PGPC-02	1.saliva	0.9336858787878788	0.9994390797969154	0.999375743302038
PGPC-02	1.saliva	0.934615797979798	0.9994170321869911	0.9993546620105335
PGPC-02	1.saliva	0.9355457171717172	0.9993818171895555	0.999253431822804
PGPC-02	1.saliva	0.9364756363636364	0.9993115087296809	0.99916571679198
PGPC-02	1.saliva	0.9374055555555556	0.9992478644470868	0.9991400799220272
PGPC-02	1.saliva	0.9383354747474748	0.9991981065830721	0.9991087241519069
PGPC-02	1.saliva	0.939265393939394	0.9991547643983302	0.9990714112998014
PGPC-02	1.saliva	0.9401953131313132	0.9991174515462246	0.9990305349187236
PGPC-02	1.saliva	0.9411252323232323	0.9990810265293383	0.9989473964479229
PGPC-02	1.saliva	0.9420551515151515	0.9990522930711611	0.9989025336934452
PGPC-02	1.saliva	0.9429850707070707	0.9990291464482564	0.9989037093182137
PGPC-02	1.saliva	0.9439149898989899	0.9990101773038685	0.9989048849429824
PGPC-02	1.saliva	0.9448449090909091	0.9989786281356613	0.9988479169721408
PGPC-02	1.saliva	0.9457748282828283	0.9989098592770977	0.9987846412206746
PGPC-02	1.saliva	0.9467047474747475	0.9988443158641936	0.9987278724998329
PGPC-02	1.saliva	0.9476346666666667	0.9987861550714453	0.9986697777777778
PGPC-02	1.saliva	0.9485645858585859	0.9987293441435486	0.9985922845117845
PGPC-02	1.saliva	0.949494505050505	0.9986842563273182	0.9985363192111986
