Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,826815,791505,35310,816049,41575,0,11061,16030,0.9572940000000001,0.949053,0.0,0.953156,,,1.8275009489807434,1.7267127059539813
INDEL,PASS,826815,791505,35310,816049,41575,0,11061,16030,0.9572940000000001,0.949053,0.0,0.953156,,,1.8275009489807434,1.7267127059539813
SNP,ALL,3576439,3544358,32081,3574274,30023,0,7010,5659,0.99103,0.9916,0.0,0.991315,2.0457634508964992,2.0460105920723044,1.4653347956249814,1.461757244454611
SNP,PASS,3576439,3544358,32081,3574274,30023,0,7010,5659,0.99103,0.9916,0.0,0.991315,2.0457634508964992,2.0460105920723044,1.4653347956249814,1.461757244454611
