Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,833513,798624,34889,816049,34745,0,10048,13997,0.958142,0.9574229999999999,0.0,0.957782,,,1.8530505086463025,1.7267127059539813
INDEL,PASS,833513,798624,34889,816049,34745,0,10048,13997,0.958142,0.9574229999999999,0.0,0.957782,,,1.8530505086463025,1.7267127059539813
SNP,ALL,3575603,3545264,30339,3574274,29135,0,6656,5182,0.9915149999999999,0.991849,0.0,0.991682,2.0458737713143265,2.0460105920723044,1.4633304673958274,1.461757244454611
SNP,PASS,3575603,3545264,30339,3574274,29135,0,6656,5182,0.9915149999999999,0.991849,0.0,0.991682,2.0458737713143265,2.0460105920723044,1.4633304673958274,1.461757244454611
