Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,831786,792788,38998,802578,26531,0,9600,10348,0.9531149999999999,0.966943,0.0,0.9599790000000001,,,1.8094614038761627,1.6407323039444952
INDEL,PASS,831786,792788,38998,802578,26531,0,9600,10348,0.9531149999999999,0.966943,0.0,0.9599790000000001,,,1.8094614038761627,1.6407323039444952
SNP,ALL,3545428,3516173,29255,3545856,29836,0,6257,4815,0.991749,0.9915860000000001,0.0,0.991667,2.0443023464487284,2.04578368917965,1.4188540041357751,1.4200439409787178
SNP,PASS,3545428,3516173,29255,3545856,29836,0,6257,4815,0.991749,0.9915860000000001,0.0,0.991667,2.0443023464487284,2.04578368917965,1.4188540041357751,1.4200439409787178
